SPOTIFY
acousticness;danceability;duration_ms;energy;instrumentalness;key;liveness;loudness;mode;speechiness;tempo;time_signature;valence;target;song_title;artist;V18
0,010200000000000;0,833;204600;0,4340;0,021900000000000;2;0,1650;-8795,000;1;0,4310;150062,00;4;0,2860;1;Mask Off;Future;
0,199000000000000;0,743;326933;0,3590;0,006110000000000;1;0,1370;-10401,000;1;0,0794;160083,00;4;0,5880;1;Redbone;Childish Gambino;
0,034400000000000;0,838;185707;0,4120;0,000234000000000;2;0,1590;-7148,000;1;0,2890;75044,00;4;0,1730;1;Xanny Family;Future;
0,604000000000000;0,494;199413;0,3380;0,510000000000000;5;0,0922;-15236,000;1;0,0261;86468,00;4;0,2300;1;Master Of None;Beach House;
0,180000000000000;0,678;306280;0,5610;0,512000000000000;5;0,4390;-11648,000;0;0,0694;174004,00;4;0,9040;1;Parallel Lines;Junior Boys;
0,004790000000000;0,804;251333;0,5600;0,000000000000000;8;0,1640;-6682,000;1;0,1850;85023,00;4;0,2640;1;Sneakin?;Drake;
0,014500000000000;0,739;241400;0,4720;0,000007270000000;1;0,2070;-11204,000;1;0,1560;80,03;4;0,3080;1;Childs Play;Drake;
0,020200000000000;0,266;349667;0,3480;0,664000000000000;10;0,1600;-11609,000;0;0,0371;144154,00;4;0,3930;1;Gyîngyhaj£ l†ny;Omega;
0,048100000000000;0,603;202853;0,9440;0,000000000000000;11;0,3420;-3626,000;0;0,3470;130035,00;4;0,3980;1;I've Seen Footage;Death Grips;
0,002080000000000;0,836;226840;0,6030;0,000000000000000;7;0,5710;-7792,000;1;0,2370;99994,00;4;0,3860;1;Digital Animal;Honey Claws;
0,057200000000000;0,525;358187;0,8550;0,014300000000000;5;0,6490;-7372,000;0;0,0548;111951,00;3;0,5240;1;Subways - In Flagranti Extended Edit;The Avalanches;
0,091500000000000;0,753;324880;0,7480;0,003480000000000;10;0,2120;-8,620;1;0,0494;104322,00;4;0,6420;1;Donme Dolap - Baris K Edit;Modern Folk öálÅsÅ;
0,253000000000000;0,603;156973;0,4340;0,061900000000000;0;0,1080;-11062,000;1;0,0342;127681,00;4;0,3810;1;Cemalim;Erkin Koray;
0,366000000000000;0,762;243270;0,4760;0,000000000000000;0;0,1030;-12686,000;1;0,1140;130007,00;4;0,3670;1;One Night;Lil Yachty;
0,440000000000000;0,662;247288;0,6030;0,000000000000000;9;0,0972;-8317,000;0;0,0793;125011,00;4;0,3510;1;Oh lala;PNL;
0,019000000000000;0,637;188333;0,8320;0,056300000000000;6;0,3160;-6637,000;1;0,1630;99988,00;4;0,3170;1;Char;Crystal Castles;
0,023900000000000;0,603;270827;0,9550;0,045100000000000;1;0,1190;-4111,000;1;0,0458;123922,00;4;0,7730;1;World In Motion;New Order;
0,233000000000000;0,789;337293;0,6590;0,000490000000000;4;0,1840;-12654,000;0;0,0429;122415,00;4;0,8420;1;One Nation Under a Groove;Funkadelic;
0,314000000000000;0,713;195429;0,6110;0,000000000000000;1;0,1170;-6702,000;0;0,2410;140061,00;4;0,7830;1;Bouncin;Chief Keef;
0,024200000000000;0,735;214347;0,7590;0,185000000000000;1;0,0966;-6914,000;0;0,0449;109982,00;4;0,7630;1;C O O L - Radio Edit;Le Youth;
0,000702000000000;0,854;249253;0,7190;0,308000000000000;10;0,4280;-9335,000;0;0,0655;128049,00;4;0,4710;1;Percolator (Jamie Jones Vault Mix) - mixed;Cajmere;
0,000240000000000;0,747;307680;0,7400;0,369000000000000;1;0,0995;-4134,000;1;0,0323;130031,00;4;0,7700;1;House of Jealous Lovers;The Rapture;
0,118000000000000;0,854;287086;0,4010;0,000000000000000;9;0,5270;-8553,000;1;0,3950;139922,00;4;0,4410;1;Imma Ride;Young Thug;
0,279000000000000;0,512;203400;0,5640;0,000015400000000;10;0,1330;-5892,000;1;0,0316;94498,00;4;0,4010;1;If I Gave You My Love;Myron & E;
0,002190000000000;0,781;205160;0,7950;0,269000000000000;7;0,0673;-6758,000;1;0,0360;109977,00;4;0,7950;1;This Ready Flesh;TR/ST;
0,341000000000000;0,411;199500;0,6840;0,000001420000000;11;0,1980;-6889,000;0;0,3830;110016,00;4;0,5980;1;Lose My Mind;A-Trak;
0,018000000000000;0,646;188333;0,8370;0,040300000000000;6;0,3160;-6615,000;1;0,1340;100,04;4;0,3200;1;Char;Crystal Castles;
0,051600000000000;0,782;228562;0,5720;0,000000000000000;4;0,3300;-7467,000;0;0,0385;120021,00;4;0,2370;1;Look Alive;Rae Sremmurd;
0,282000000000000;0,735;186096;0,4000;0,125000000000000;1;0,0811;-12766,000;1;0,1020;129004,00;4;0,3260;1;Please Stop Making Fake Versace;Father;
0,007910000000000;0,450;220934;0,4490;0,000000000000000;2;0,1730;-12037,000;1;0,1560;135,45;4;0,1370;1;Milly Rock;2milly;
0,021900000000000;0,897;285240;0,6420;0,000001310000000;2;0,1590;-8828,000;1;0,0534;127984,00;4;0,2700;1;BlasÇ (feat, Future & Rae Sremmurd);Ty Dolla $ign;
0,035800000000000;0,959;213000;0,5980;0,000000000000000;8;0,3580;-5534,000;1;0,0713;127029,00;4;0,4240;1;Best Friend;Young Thug;
0,032400000000000;0,742;280831;0,5590;0,000000000000000;5;0,0987;-5876,000;1;0,1410;146923,00;4;0,4290;1;Hercules;Young Thug;
0,118000000000000;0,805;232880;0,6870;0,000000000000000;9;0,0842;-7771,000;1;0,0458;119999,00;4;0,6830;1;Who Be Lovin Me (feat, ILOVEMAKONNEN);Santigold;
0,042800000000000;0,667;230693;0,5810;0,000000000000000;0;0,1830;-5164,000;0;0,3230;110953,00;4;0,3720;1;Check;Young Thug;
0,297000000000000;0,722;175613;0,8230;0,000000000000000;7;0,4890;-3916,000;1;0,0810;148,23;4;0,8550;1;Poppin' My Collar;Three 6 Mafia;
